"Qty","Device","Refdes","Manufacturer","Manufacturer Part Number","Vendor","Vendor Part Number","Value","Generic"
1,"MS22R","S1","APEM","MS22R","FARNELL","2435145","DPST","no"
4,"CC0805KKX5R5BB106","C16 C13 C1 C14","YAEGO","CC0805KKX5R5BB106","Farnell","1816808","10µF","yes: 0805 10uF MLCC 6.3V"
10,"CC0603ZRY5V9BB104","C12 C11 C8 C7 C6 C3 C5 C4 C18 C15","YAEGO","CC0603ZRY5V9BB104","Farnell","2366349","100nF","yes: 0603 100nF MLCC"
2,"TPSB476K006R0250","C2 C17","AVX","TPSB476K006R0250","Farnell","1135100","47uF","yes: 47uF Tantalum, case B"
1,"SD25-101-R","L1","COILTRONICS","SD25-101-R","Farnell","2112969","100uH","no"
3,"MCWR06X1001FTL","R10 R8 R4","MULTICOMP","MCWR06X1001FTL","Farnell","2446589","1K?","yes: 0603 1K resistor"
1,"2460","B1","KEYSTONE","2460","Farnell","1702629","1.5V","no"
7,"MC0063W0603110K","R9 R7 R6 R3 R2 R11 R12","MULTICOMP","MC0063W0603110K","Farnell","2130939","10K?","yes: 0603 10K resistor"
2,"KMS221G","S3 S2","LFS C & K COMPONENTS","KMS221G","Farnell","1437638","2N","no"
1,"RN4871-V/RM118","U3","MICROCHIP","RN4871-V/RM118","MICROCHIP","RN4871-V/RM118","BLE","no"
2,"2212S-08SG-85","CONN2 CONN3","MULTICOMP","2212S-08SG-85","Farnell","1593463","8","yes: 2.54mm 8 way socket"
2,"MC0603N180J500CT","C10 C9","MULTICOMP","MC0603N180J500CT","Farnell","1759056","18pf","yes: 0603 18pF MLCC (match X1)"
1,"TC115331EMTTR","U1","MICROCHIP","TC115331EMTTR","MICROCHIP","TC115331EMTTR","3.3V","no"
1,"1N5819HW-7-F","D1","DIODES INC.","1N5819HW-7-F","Farnell","1773475","1A","yes: SOD123 Schottky 1A"
2,"BSS138P","Q3 Q1","NXP","BSS138P","Farnell","1859849","900m?","yes: N-channel FET <2V Vgs"
2,"MC0063W06035100R","R5 R1","MULTICOMP","MC0063W06035100R","Farnell","9331689","100?","yes: 0603 100R resistor"
3,"KPHCM-2012CGCK","D2 D3 D4","KINGBRIGHT","KPHCM-2012CGCK","Farnell","1686075","Green","yes: 0805 LED (Green)"
1,"ASEMB-8.000MHZ-LY-T","U2","ABRACON","ASEMB-8.000MHZ-LY-T","Farnell","2467921","8MHz","no"
2,"IRLML6402PBF","Q4 Q2","INTERNATIONAL RECTIFIER","IRLML6402PBF","Farnell","9103503","65m?","yes: P-channel FET, >1A, <2V Vgs, SOT-23"
1,"CMR200T32.768KDZY-UT","X1","CITIZEN FINETECH MIYOTA","CMR200T32.768KDZY-UT","Farnell","1703589","32768Hz","yes: 32.768kHz SMD watch crystal"
1,"PIC32MX150F128C-I/TL","U4","MICROCHIP","PIC32MX150F128C-I/TL","MICROCHIP","PIC32MX150F128C-I/TL","NA","no"
2,"MC0063W060313K3","R14 R13","MULTICOMP","MC0063W060313K3","Farnell","9331026","3.3K?","yes: 0603 3K3 resistor"
1,"EMC1001-AFZQ-TR","U5","MICROCHIP","EMC1001-AFZQ-TR","Farnell","2361928","NA","no"
1,"47L16-I/ST","U6","MICROCHIP","47L16-I/ST","Farnell","2674856","16kbit","no"
